product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Киноа,295,427,Бакалея,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2000-06-03,2005-08-13,4.49,Awaiting Payment
2,Малина,8479,649,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,2014-01-13,2026-06-02,0.92,Temporarily Unavailable
3,Пакеты для Всемирного дня окружающей среды,2259,830,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2004-03-09,2006-07-01,5.01,Shipping
4,Шелковица,1551,852,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2015-03-02,2019-04-04,0.89,Cancelled
5,Уксус,5340,809,Бакалея,Широко используется в традиционной и современной кухне.,2015-06-11,2026-03-01,3.14,Out of Stock
6,Подносы,4679,167,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2009-01-02,2011-04-01,3.48,In Stock
7,Пакеты для заморозки,1820,495,Товары для дома,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2022-02-11,2023-05-22,4.38,Awaiting Payment
8,Геркулес,183,427,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,2002-09-02,2023-01-03,1.96,Shipping
9,Горчица зерновая,3231,960,Бакалея,Помогает нормализовать артериальное давление и уровень холестерина.,2022-04-22,2025-08-02,0.02,Shipping
10,Сыворотка молочная,4588,805,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1996-10-03,2030-05-03,0.68,Refunded
11,Кашинская,973,898,Напитки,Поддерживает иммунитет и общее состояние здоровья.,1998-01-03,2012-06-16,2.62,Refunded
12,Масло подсолнечное,837,254,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,1999-01-03,2009-06-07,2.86,Temporarily Unavailable
13,Сельдерей,8417,240,Овощи,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2012-04-22,2021-02-02,2.54,Out of Stock
14,Горох,7451,318,Овощи,Помогает поддерживать нормальный уровень энергии и выносливости.,1995-05-17,2017-04-07,1.1,Pending
15,Черешня,8635,922,Фрукты,Отличается высокими показателями усвояемости организмом.,1994-02-19,2008-02-03,4.09,Available for Pickup
16,Макароны,9276,713,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2016-01-11,2020-05-09,3.89,Refunded
17,Растительное масло горчичное,5944,918,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1994-07-03,2006-03-06,3.62,Refunded
18,Авокадо,600,202,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,1990-02-06,2009-02-02,3.66,Shipping
19,Кровянка,6718,476,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2010-07-04,2025-03-04,2.56,Available for Pickup
20,Подушки,3390,365,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2018-07-01,2025-04-07,2.08,Sold
21,Мандарин,2212,89,Фрукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2001-06-06,2001-07-18,1.64,Temporarily Unavailable
22,Помидор,1433,182,Овощи,Помогает поддерживать нормальный уровень артериального давления.,2019-03-08,2029-04-06,3.74,Sold
23,Киви,3316,719,Фрукты,Является важным элементом спортивного питания для восстановления после тренировок.,1997-02-25,2008-04-16,3.18,Shipping
24,Морковь,1938,496,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2008-01-03,2030-05-07,0.53,Shipping
