Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Малина,2978,754,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,1994-01-11,2008-01-02,2.83,Returned
2,Топинамбур,2217,822,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,1991-02-01,2012-01-13,4.01,On Backorder
3,Пажитник сушеный,2724,553,Бакалея,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2012-02-12,2013-01-02,4.47,On Backorder
4,Карамбола,2965,472,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2019-07-03,2030-02-02,3.52,Awaiting Payment
5,Мацони,5737,484,Молочные продукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1996-03-02,2013-01-02,3.55,Pending
6,Карамбола,6962,672,Фрукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1994-09-15,2029-01-13,4.35,Out of Stock
7,Хамон,7488,156,Мясо,Подходит для использования в рецептах традиционной кухни разных стран.,2015-06-02,2027-01-23,4.27,Delivered
8,Шпинат,1945,756,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,2022-04-08,2029-03-05,4.27,Awaiting Payment
9,Растительное масло льняное,2033,401,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2021-03-02,2022-01-01,3.79,Awaiting Payment
10,Консервированные бобы,9057,154,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",1991-04-07,2027-01-03,1.13,Temporarily Unavailable
11,Московская,6070,718,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1991-07-03,2015-08-02,1.62,Temporarily Unavailable
12,Таганрогская,9597,39,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2011-01-09,2023-06-01,3.73,Sold
13,Тоник,7243,600,Напитки,Помогает поддерживать нормальный уровень артериального давления.,1992-01-03,1993-08-05,4.32,Out of Stock
14,Пакеты для Пасхи,2294,970,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2021-01-07,2022-01-07,1.91,Shipping
15,Груша,3344,379,Фрукты,Придает блюдам особую нежность и насыщенность.,1995-06-07,2012-01-01,0.81,Refunded
16,Каша из дробленной перловой крупы,8096,752,Бакалея,Придает блюдам особую нежность и насыщенность.,2016-08-04,2018-01-17,3.62,Available for Pickup
17,Бекон,4872,921,Мясо,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1994-02-26,2021-08-06,0.55,Awaiting Payment
